time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759433317.352,8800,21694,2.14057802002435,590.1961301078948,593.7484921916127,43514427.6734821,43492734
1759433319.395,8850,21794,2.133381468912301,590.4850930353305,593.2168840160443,43500906.69128155,43479113
1759433321.460,8900,21894,2.1248845686572553,589.9928609421781,594.3608312331266,43544514.60104026,43522621
1759433323.508,8950,21994,2.1174489116301483,589.8906779210673,594.2292648515086,43602107.66270364,43580114
1759433325.580,9000,22094,2.1117013194008423,589.4261816447183,593.6659134262065,43542122.19666166,43520029
1759433327.589,9050,22194,2.106002300367589,589.0397913590971,593.8554998172435,43507878.41492041,43485685
1759433329.643,9100,22294,2.1009679393306033,588.5285530429821,594.1829135949437,43520012.68135692,43497719
1759433331.710,9150,22394,2.0946454610420515,588.8015841171018,593.7834283484077,43478579.12223581,43456186
1759433333.765,9200,22494,2.091317577296021,589.041061310005,594.892598794285,43506987.51091701,43484494
1759433335.785,9250,22594,2.0851439828857967,589.6408719241118,595.2277569816731,43587056.02709755,43564463
1759433337.788,9300,22694,2.0816390837247507,589.7911983160766,595.6115756252711,43619937.907747716,43597244
1759433339.843,9350,22794,2.075535795455464,589.3945678312161,596.0370375326859,43580432.62623599,43557639
1759433341.942,9400,22894,2.066623907793243,588.7013618952991,596.790031059146,43613826.30072155,43590933
1759433344.027,9450,22994,2.0609801495272397,588.9829469814906,597.228679267354,43641855.23120275,43618862
1759433346.057,9500,23094,2.0576142548424654,589.2107020507347,596.6642755577034,43594867.86165593,43571774
1759433348.087,9550,23194,2.0502472654007837,588.8075799225502,596.9195630556401,43583942.41328365,43560749
1759433350.132,9600,23294,2.0473700981138516,588.8064287720314,597.693454819738,43642955.267245956,43619662
1759433352.113,9650,23394,2.0415318074862077,588.7102556554092,597.9226413250865,43626067.94112603,43602674
1759433354.153,9700,23494,2.0363074591929995,589.5710118991103,598.2644209869146,43664304.007361114,43640811
1759433356.214,9750,23594,2.0293388341931284,588.7740803423263,597.9730426069374,43615377.8882728,43591784
1759433358.203,9800,23694,2.026406054170228,588.7909276407713,598.3503617333142,43653209.44704048,43629516
1759433360.215,9850,23794,2.0214795961759187,588.639909636647,598.0428143876657,43599740.39483186,43575947
1759433362.214,9900,23894,2.018716524647069,589.833063314575,598.4339628872991,43674036.38540853,43650143
1759433364.329,9950,23994,2.012841680122371,589.1953314994464,598.1384038671665,43654080.853592455,43630087
1759433366.395,10000,24094,2.0061932718077826,588.796277662809,597.118750284928,43621638.2752854,43597545
1759433368.404,10050,24194,1.9998712949319637,587.8853174931562,597.6481573062663,43593140.232537635,43568947
1759433370.415,10100,24294,1.9976447447289423,588.5922030685908,597.6502037192981,43624126.4907701,43599833
1759433372.439,10150,24394,1.9880171504299253,586.8727659441748,598.0118737076732,43548559.19928794,43524166
1759433374.449,10200,24494,1.9818698438922937,587.2645177502402,598.0630229941056,43501857.724074945,43477364
1759433376.463,10250,24594,1.9766876808493432,586.8651402904222,598.4892152673339,43492513.99118337,43467920
1759433378.459,10300,24694,1.9714614817266207,587.3143665660308,598.5175634807986,43540075.370921426,43515382
1759433380.480,10350,24794,1.9641947522391883,586.6710064094145,598.6862698805824,43515785.44724406,43490992
1759433382.518,10400,24894,1.957739284506669,585.7116036761864,599.4802410860466,43504478.79112437,43479585
1759433384.521,10450,24994,1.9511847677052396,585.6016611929504,600.1179587994047,43506424.913701855,43481431
1759433386.555,10500,25094,1.9462443068513213,585.672903427904,600.6101595544441,43525973.4181259,43500880
1759433388.572,10550,25194,1.9425918443153338,586.0211307582275,600.8500333270205,43498896.30755313,43473703
1759433390.645,10600,25294,1.9382000074553525,585.3605038255582,600.8262803212945,43442324.73224537,43417031
1759433392.692,10650,25394,1.9364106425599712,585.3361114977567,601.8827925079349,43479733.45081571,43454340
1759435398.777,50000,104093,0.86645339092017,579.9007510358688,578.913613783698,41949149.62058762,41845057
1759437332.441,100000,204090,0.6110768295212656,580.1801873098891,582.0457482730544,41898176.53061792,41694087
1759439265.300,150000,304084,0.4973945152364377,579.2312474686148,584.1331790026734,41791944.01118439,41487861
1759441195.826,200000,404082,0.4302329645785967,578.0204807339362,582.7840444589833,41699363.36326796,41295282
1759443132.953,250000,504080,0.3841412980377146,577.7108493059969,582.7492207287272,41679864.224352635,41175785
1759445064.253,300000,604077,0.35119020689191693,579.0153920868458,582.6098611609298,41676594.37231698,41072518
1759446999.843,350000,704075,0.32508672816215595,579.5280678344677,581.9821716130796,41635564.061528675,40931490
1759448935.319,400000,804073,0.3040511618608825,579.7205914425147,582.5984384410403,41663072.013025336,40859000
1759450867.930,450000,904071,0.286657023435175,580.3036590973597,582.2738809463697,41677904.372865275,40773834
1759452799.445,500000,1004069,0.2720170378232359,580.4060524226188,582.1557612212034,41635209.146574296,40631141
1759454734.490,550000,1104064,0.2593502853574583,580.5318070318356,583.0127195010682,41675704.93663936,40571641
1759456664.563,600000,1204058,0.24826584408293145,580.4932059173509,583.6443411858611,41690090.721888214,40486033
1759458597.418,650000,1304056,0.23840837215174432,580.4864345651335,584.0014850378066,41677785.90992364,40373730
1759460535.341,700000,1404052,0.22959307602191342,580.3085026993721,584.2380433686569,41676503.043984264,40272452
1759462466.193,750000,1504050,0.22177874073660972,580.1559385357649,583.9486775106191,41643107.72634554,40139058
1759464396.592,800000,1604047,0.21461019727844022,580.139611015728,584.1817913663017,41645971.4241241,40041925
1759466329.025,850000,1704047,0.20816528258723474,580.3687714176957,583.9372186007971,41642639.19488482,39938593
1759468257.628,900000,1804043,0.20232128612345404,580.5340372417903,584.0539835694901,41655557.00447155,39851515
1759470190.038,950000,1904038,0.1969130728650273,580.4607410399757,584.3465771658127,41682130.25431395,39778093
1759472121.283,1000000,2004036,0.19190859882103306,580.3382872570442,584.4644889615645,41679805.249701776,39675770
1759474056.264,1050000,2104035,0.18726988166617672,580.5474067186972,584.2780092842451,41677891.01952171,39573857
1759475987.625,1100000,2204030,0.18301489339740104,580.5619401259912,584.6005500039851,41696583.26011082,39492554
